Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"AGV fuzzy control optimized by genetic algorithms","The intelligent controller for hybrid AGVs, based on fuzzy logic and genetic algorithms, improves efficiency and saves energy while maintaining safety.","J. Sierra-García, Matilde Santos",2024,5,"
 Automated Guided Vehicles (AGV) are an essential element of transport in industry 4.0. Although they may seem simple systems in terms of their kinematics, their dynamics is very complex, and it requires robust and efficient controllers for their routes in the workspaces. In this paper, we present the design and implementation of an intelligent controller of a hybrid AGV based on fuzzy logic. In addition, genetic algorithms have been used to optimize the speed control strategy, aiming at improving efficiency and saving energy. The control architecture includes a fuzzy controller for trajectory tracking that has been enhanced with genetic algorithms. The cost function first maximizes the time in the circuit and then minimizes the guiding error. It has been validated on the mathematical model of a commercial hybrid AGV that merges tricycle and differential robot components. This model not only considers the kinematics and dynamics equations of the vehicle but also the impact of friction. The performance of the intelligent control strategy is compared with an optimized PID controller. Four paths were simulated to test the approach validity.","","Log. J. IGPL","2","10.1093/jigpal/jzae033","https://consensus.app/papers/agv-fuzzy-control-optimized-by-genetic-algorithms-sierra-garca-santos/d860f344993856cb9d53a770fc4ffbda/"
"Fuzzy logic controller for UAV with gains optimized via genetic algorithm","The Genetic Algorithm optimizes gains in a fuzzy controller for UAVs, reducing tracking error and improving energy efficiency.","Omar Rodríguez-Abreo, J. Rodríguez-Reséndíz, A. García-Cerezo, José R. García-Martínez",2024,40,"","","Heliyon","1","10.1016/j.heliyon.2024.e26363","https://consensus.app/papers/fuzzy-logic-controller-for-uav-with-gains-optimized-via-rodrguez-abreo-rodrguez-resndz/93441505bb9b5cb4a933e827086ddcc6/"
"Development of computer-controlled material handling model by means of fuzzy logic and genetic algorithms","This study developed a computer-controlled material handling model using fuzzy logic and genetic algorithms for automated guided vehicle (AGV) path routing, effectively guiding the human driver and improving overall manufacturing efficiency.","A. Gola, G. Kłosowski",2019,54,"","","Neurocomputing","1","10.1016/j.neucom.2018.05.125","https://consensus.app/papers/development-of-computercontrolled-material-handling-gola-kosowski/9ee437fc5f0456259179f1c17ce7f61c/"
"Performance comparison of controllers’ design on trajectory tracking of public autonomous vehicle based on genetic algorithm","The SMC controller significantly improves trajectory tracking performance, while the FLC-Trimf and PAC controllers show similar performance.","Ngoc Dai Pham, H. Tran, Quang Lam Tran, Viet Thang Vu",2025,0,"This research proposes novel methods of designing Sliding Mode (SMC), Fuzzy Logic (FLC) controllers to control the vehicle for tracking various trajectories. The first contribution is the development of the SMC design method applying the Decoupled Algorithm and the Hurwitz condition to minimize the number of control variables and accurately determine relationships between sliding surface parameters. The second contribution is an FLC design method with completely new fuzzy rules that ensure the lateral tracking by only two input variables (lateral ey and heading eϕ errors). Additionally, the study applies ANFIS to develop a single controller, PAC, capable of operating effectively under various scenarios without complex parameter updates, using FLC’s data. The scenarios used in the study include closed-loop and short open-loop routes simulating vehicle’s typical routes designed with Matlab Driving-Scenario Designer. Compared with the FLC–Trimf–Gauss controller, the SMC achieved significant performance, reducing the RMS ey and RMS eϕ by 45.5% and 30.7%, respectively; the FLC–Trimf and PAC controllers showed nearly the same performance, with reductions in RMS ey and RMS eϕ of 27.3% and 16.7%, respectively.","","Journal of Vibration and Control","2","10.1177/10775463251389675","https://consensus.app/papers/performance-comparison-of-controllers-design-on-pham-tran/1d747dfc41df538f8a4b19dc0a210d95/"
"Fuzzy domain and meta-heuristic algorithm-based collision avoidance control for ships: Experimental validation in virtual and real environment","The developed algorithm (ColAv_GA) effectively avoids collisions between ships and autonomous surface vehicles in both virtual and real environments, contributing to navigation safety.","R. Fışkın, Oğuz Atik, H. Kişi, E. Nasibov, T. Johansen",2021,66,"","","Ocean Engineering","1","10.1016/j.oceaneng.2020.108502","https://consensus.app/papers/fuzzy-domain-and-metaheuristic-algorithmbased-collision-fkn-atik/d39996733144538b95fb02c392695ff9/"
"A Comparative Study in Fuzzy Control Systems for Cruise Control Vehicles","Different fuzzy logic cruise controllers improve autonomous driving performance, with different methods yielding varying responses and output characteristics.","Adnan Shaout, Malek Amr",2025,0,"Aim: With cutting-edge technologies revolutionizing modern life, autonomous vehicles connected with in-frastructure applications are significantly impacting human life through technologies such as Vehi-cle-to-Everything (V2X), Vehicle-to-Infrastructure (V2I), and Vehicle-to-Vehicle (V2V). This paper pre-sents the state of the art in fuzzy models implementing adaptive cruise control (ACC) for vehicles and com-pares their respective results. 
Methods: The demand for efficient automobile cruise control systems is on the rise. However, these systems are very complex and require an accurate model, which is difficult to achieve due to complex and variable road conditions. Therefore, reaching level 5 autonomous driving, which refers to a fully automated vehicle capable of performing all driving functions, will eventually require fuzzy logic inference to help incorporate human-like thinking into the vehicle.
Results: This paper investigates both current and previous research, comparing the overall performance of various fuzzy systems to non-fuzzy systems.
Conclusion: This paper presents various fuzzy logic cruise controllers aimed at improving and enhancing the autonomous driving experience. Among the methods reviewed are Fuzzy PID controllers, Fuzzy MPC with Type 1 and Type 2 using genetic algorithms, and fuzzy cooperative adaptive cruise control. The challenging problem of comparing different algorithms for fuzzy cruise control has been considered, studied, and ana-lyzed. The main conclusion of this comparative study is that applying different methods to the same adaptive cruise control system results in varying responses and output characteristics.","","Journal of Engineering Research and Reviews","","10.5455/jerr.20250210105649","https://consensus.app/papers/a-comparative-study-in-fuzzy-control-systems-for-cruise-shaout-amr/da82e88fbf665534aa7a73df5976f5a1/"
"A review of the application of fuzzy mathematical algorithm-based approach in autonomous vehicles and drones","Fuzzy logic can improve autonomous vehicle and drone navigation, control, and decision-making, but computational efficiency and adaptability remain challenges.","Rashmi Singh, D. Nishad, Saifullah Khalid, Aryan Chaudhary",2024,20,"Autonomous vehicles (AVs) and unmanned aerial vehicles (UAVs) have brought about transformative changes in transportation and aviation. However, making these systems fully autonomous and able to navigate safely in unpredictable real-world situations remains a big challenge. Fuzzy logic and related mathematical algorithms have emerged as practical tools to tackle uncertainty and complex decision-making in these systems. This paper reviews how fuzzy logic and mathematical approaches are applied in areas like navigation, control, avoiding obstacles, planning routes, and decision-making for AVs and UAVs. It delves into the key methods, designs, pros, and cons of using fuzzy logic in autonomous vehicles. The paper also compares fuzzy logic with other AI techniques. The review shows that fuzzy logic manages the uncertainties and imprecision involved in how autonomous vehicles perceive and navigate dynamic environments. Fuzzy controllers often perform better than traditional methods in vehicle control and UAV direction control. High-level decisions and route planning in AVs have also benefited from fuzzy inference systems. Still, challenges like computational efficiency, adaptability, and integrating fuzzy logic with other AI components remain. The paper concludes with suggestions for future research to make autonomous vehicles and drones smarter and safer using fuzzy logic. This review is a useful guide for anyone developing intelligent autonomous systems.","literature review","International Journal of Intelligent Robotics and Applications","2","10.1007/s41315-024-00385-4","https://consensus.app/papers/a-review-of-the-application-of-fuzzy-mathematical-singh-nishad/87f8834a789d5bbaafd18748caab4dda/"
"HYBRID NEURO-FUZZY-GENETIC ALGORITHMS FOR OPTIMAL CONTROL OF AUTONOMOUS SYSTEMS","Hybrid neuro-fuzzy-genetic algorithms offer adaptive and optimal control for autonomous systems, combining neural networks, fuzzy logic, and genetic algorithms for real-time performance.","Veeranan Arunprasad, Brijendra Gupta, K. T, Muruganantham Ponnusamy",2023,2,"In recent years, there has been an increasing demand for efficient and robust control algorithms to optimize the performance of autonomous systems. Traditional control techniques often struggle to handle the complexity and uncertainty associated with such systems. To address these challenges, hybrid neuro-fuzzy-genetic algorithms have emerged as a promising approach. This paper presents a comprehensive review of the application of hybrid neuro-fuzzy-genetic algorithms for optimal control of autonomous systems. The proposed algorithms combine the strengths of neural networks, fuzzy logic, and genetic algorithms to achieve adaptive and optimal control in real-time scenarios. The neuro-fuzzy component provides the ability to model and handle complex and uncertain systems, while the genetic algorithm component facilitates the optimization of control parameters. The combination of these techniques enables autonomous systems to adapt and optimize their control strategies based on changing environments and objectives. The paper discusses the underlying principles of hybrid neuro-fuzzy-genetic algorithms, their advantages, and challenges. It also provides a review of the state-of-the-art research in this field, highlighting successful applications and potential future directions. Overall, the integration of neuro-fuzzy-genetic algorithms in autonomous systems holds great promise for achieving optimal control in various domains, including robotics, aerospace, and autonomous vehicles.","","ICTACT Journal on Soft Computing","","10.21917/ijsc.2023.0424","https://consensus.app/papers/hybrid-neurofuzzygenetic-algorithms-for-optimal-control-arunprasad-gupta/b6ce8bf528605354bbbc7f38f0efd7c5/"
"A modified sliding mode controller based on Fuzzy logic to control the longitudinal dynamics of the autonomous vehicle","Our modified sliding mode controller with fuzzy logic improves autonomous vehicle speed tracking and adaptive cruise control, reducing speed errors to 0.006 m/s.","Rachid Alika, E. Mellouli, E. Tissir",2024,24,"","","Results in Engineering","1","10.1016/j.rineng.2024.102120","https://consensus.app/papers/a-modified-sliding-mode-controller-based-on-fuzzy-logic-to-alika-mellouli/e65118f7483d506fa8d19d64750e9374/"
"A Fuzzy Control Strategy for Multi-Goal Autonomous Robot Navigation","This paper proposes a dual-controller system for autonomous robot navigation, combining TSP optimization with dynamic obstacle handling, ensuring collision-free navigation in unpredictable environments.","Stavros Stavrinidis, Paraskevi Zacharia, Elias K. Xidias",2025,11,"This paper addresses the complex problem of multi-goal robot navigation, framed as an NP-hard traveling salesman problem (TSP), in environments with both static and dynamic obstacles. The proposed approach integrates a novel path planning algorithm based on the Bump-Surface concept to optimize the shortest collision-free path among static obstacles, while a Genetic Algorithm (GA) is employed to determine the optimal sequence of goal points. To manage static or dynamic obstacles, two fuzzy controllers are developed: one for real-time path tracking and another for dynamic obstacle avoidance. This dual-controller system enables the robot to adaptively adjust its trajectory while ensuring collision-free navigation in unpredictable environments. The integration of fuzzy logic with TSP-based path planning and real-time dynamic obstacle handling represents a significant advancement in autonomous robot navigation. Simulations conducted in CoppeliaSim validate the effectiveness of the proposed method, demonstrating robust navigation and obstacle avoidance in realistic environments. This work provides a comprehensive framework for solving multi-goal navigation tasks by incorporating TSP optimization with dynamic, real-time path adjustments.","","Sensors (Basel, Switzerland)","1","10.3390/s25020446","https://consensus.app/papers/a-fuzzy-control-strategy-for-multigoal-autonomous-robot-stavrinidis-zacharia/0875b0c5a0115e558a5cbf51a8ca2ed0/"
